price,address,price_m2,rooms,toilets,direction,property_status,balconydirection,property_legal_document,apartment_type,furnishing_sell,size,apartment_feature
4 tỷ,- 50 triệu/m²,50 triệu/m²,2 phòng,2 phòng,Đông Nam,Đã bàn giao,Tây Bắc,Sổ hồng riêng,Chung cư,,,
3 tỷ,"Võ Văn Kiệt, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh",40 triệu/m²,2 phòng,2 phòng,,Đã bàn giao,,Hợp đồng mua bán,Chung cư,,75 m²,
"3,25 tỷ","659 Âu Cơ, phường Tân Thành, quận Tân Phú, Tp. HCM., Phường Tân Thành, Quận Tân Phú, Tp Hồ Chí Minh","36,93 triệu/m²",3 phòng,2 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,,88 m²,
"1,76 tỷ","Tân Phú, Phường Tân Phú, Quận 7, Tp Hồ Chí Minh",176 triệu/m²,3 phòng,,,Đã bàn giao,,Sổ hồng riêng,Chung cư,,10 m²,
"1,54 tỷ","Đường Bến Vân Đồn, Phường 6, Quận 4, Tp Hồ Chí Minh",154 triệu/m²,2 phòng,2 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,Hoàn thiện cơ bản,,
"2,33 tỷ","341/13A, Khuông Việt, Phường Phú Trung, Quận Tân Phú, Tp Hồ Chí Minh","46,60 triệu/m²",1 phòng,1 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,,50 m²,
"1,25 tỷ","Đường Võ Văn Kiệt, Phường 3, Quận 6, Tp Hồ Chí Minh","41,67 triệu/m²",2 phòng,2 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,Nội thất đầy đủ,30 m²,
"2,95 tỷ","Nguyễn Xiển, Phường Long Thạnh Mỹ (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","35,54 triệu/m²",3 phòng,,,Đã bàn giao,,Sổ hồng riêng,Chung cư,,83 m²,
"2,95 tỷ","Nguyễn Xiển, Phường Long Thạnh Mỹ (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","35,54 triệu/m²",3 phòng,,,Đã bàn giao,,Sổ hồng riêng,Chung cư,,83 m²,
"1,76 tỷ","86, Tản Đà, Phường 11, Quận 5, Tp Hồ Chí Minh",176 triệu/m²,2 phòng,2 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,Nội thất cao cấp,,
"1,90 tỷ","- 33,33 triệu/m²","33,33 triệu/m²",2 phòng,2 phòng,Đông Bắc,Đã bàn giao,Tây Nam,Hợp đồng mua bán,Chung cư,,,
"1,85 tỷ","Nguyễn Hữu Cảnh, Phường 22, Quận Bình Thạnh, Tp Hồ Chí Minh",185 triệu/m²,2 phòng,2 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,Nội thất đầy đủ,,
"3,85 tỷ","Đường Phạm Hữu Lầu, Phường Phú Mỹ, Quận 7, Tp Hồ Chí Minh","31,05 triệu/m²",3 phòng,2 phòng,,Đã bàn giao,,Hợp đồng mua bán,Chung cư,,124 m²,
"4,90 tỷ","128, Hồng Hà, Phường 9, Quận Phú Nhuận, Tp Hồ Chí Minh","61,25 triệu/m²",2 phòng,2 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,Nội thất đầy đủ,,
"1,65 tỷ","số 88, N1, Phường Sơn Kỳ, Quận Tân Phú, Tp Hồ Chí Minh",165 triệu/m²,2 phòng,,,Đã bàn giao,,Sổ hồng riêng,Chung cư,,10 m²,
"1,50 tỷ","Tạ Quang Bửu, Phường 5, Quận 8, Tp Hồ Chí Minh","57,69 triệu/m²",1 phòng,1 phòng,,Đã bàn giao,,Hợp đồng mua bán,Chung cư,Hoàn thiện cơ bản,26 m²,
"4,65 tỷ","số 88, N1, Phường Sơn Kỳ, Quận Tân Phú, Tp Hồ Chí Minh","54,71 triệu/m²",2 phòng,2 phòng,,Đã bàn giao,,Hợp đồng mua bán,Chung cư,Hoàn thiện cơ bản,85 m²,
"1,65 tỷ","3/2, Phường 12, Quận 10, Tp Hồ Chí Minh",165 triệu/m²,2 phòng,1 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,Nội thất cao cấp,10 m²,
"1,45 tỷ","224/5, Quốc Lộ 13, Phường 26, Quận Bình Thạnh, Tp Hồ Chí Minh",145 triệu/m²,2 phòng,2 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,Nội thất đầy đủ,,
"3,85 tỷ","Đường Nguyễn Tất Thành, Phường 18, Quận 4, Tp Hồ Chí Minh","48,73 triệu/m²",2 phòng,2 phòng,,Chưa bàn giao,,Sổ hồng riêng,Chung cư,Nội thất cao cấp,79 m²,
"3,50 tỷ","Bến Bình Đông, Phường 14, Quận 8, Tp Hồ Chí Minh","50,72 triệu/m²",2 phòng,2 phòng,,Chưa bàn giao,,Hợp đồng đặt cọc,Chung cư,,69 m²,
"1,45 tỷ","Đường Phạm Thế Hiển, Phường 6, Quận 8, Tp Hồ Chí Minh",145 triệu/m²,2 phòng,2 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,,,
895 triệu,"- 89,50 triệu/m²","89,50 triệu/m²",2 phòng,2 phòng,Đông,Đã bàn giao,Tây,Sổ hồng riêng,Chung cư,,,
"1,43 tỷ","Đường Võ Văn Kiệt, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh",143 triệu/m²,2 phòng,2 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,Hoàn thiện cơ bản,10 m²,
"1,75 tỷ","Đường Nguyễn Xiển, Phường Long Bình (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",175 triệu/m²,2 phòng,,,Đã bàn giao,,Sổ hồng riêng,Chung cư,Nội thất đầy đủ,10 m²,
"2,85 tỷ","Số 200, 12, Phường 12, Quận 10, Tp Hồ Chí Minh",285 triệu/m²,2 phòng,2 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,Nội thất đầy đủ,10 m²,
"2,20 tỷ","Nguyễn Xiển, Phường Long Thạnh Mỹ (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","37,29 triệu/m²",2 phòng,2 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,,59 m²,
"1,80 tỷ","Xa Lộ Hà Nội, Phường An Phú (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",180 triệu/m²,2 phòng,,,Đã bàn giao,,Sổ hồng riêng,Chung cư,,10 m²,
"3,15 tỷ","Đường Vũ Huy Tấn, Phường 3, Quận Bình Thạnh, Tp Hồ Chí Minh","47,58 triệu/m²",2 phòng,,,Đã bàn giao,,Sổ hồng riêng,Chung cư,,66.2 m²,
"2,39 tỷ","Đường Trần Trọng Cung, Phường Tân Thuận Đông, Quận 7, Tp Hồ Chí Minh","44,26 triệu/m²",2 phòng,1 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,,54 m²,
"1,65 tỷ","Xa Lộ Hà Nội, Phường An Phú (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","19,19 triệu/m²",2 phòng,2 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,,86 m²,
"1,30 tỷ","- 22,81 triệu/m²","22,81 triệu/m²",2 phòng,2 phòng,Đông Nam,Chưa bàn giao,Tây Bắc,Hợp đồng mua bán,Chung cư,,,
990 triệu,- 99 triệu/m²,99 triệu/m²,2 phòng,2 phòng,Đông,Đã bàn giao,Tây,Sổ hồng riêng,Chung cư,,,
"2,50 tỷ","Nguyễn Xiển, Phường Long Thạnh Mỹ (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","37,31 triệu/m²",2 phòng,2 phòng,,Đã bàn giao,,Hợp đồng mua bán,Chung cư,,67 m²,
"1,80 tỷ","Lê Đại Hành, Phường 15, Quận 11, Tp Hồ Chí Minh",180 triệu/m²,2 phòng,2 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,Nội thất đầy đủ,,
"2,35 tỷ","Hồ Học Lãm, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh","30,13 triệu/m²",3 phòng,2 phòng,,Chưa bàn giao,Tây,Sổ hồng riêng,Chung cư,Hoàn thiện cơ bản,,
"1,40 tỷ","Nguyễn Xiển, Phường Long Thạnh Mỹ (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","35,90 triệu/m²",1 phòng,1 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,Hoàn thiện cơ bản,39 m²,
"1,46 tỷ","Đường Võ Văn Kiệt, Phường 16, Quận 8, Tp Hồ Chí Minh",146 triệu/m²,2 phòng,2 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,Nội thất đầy đủ,10 m²,
"2,37 tỷ","239 – 241 – 278 , Hòa Bình, Phường Hiệp Tân, Quận Tân Phú, Tp Hồ Chí Minh","44,72 triệu/m²",2 phòng,,,Đã bàn giao,,Hợp đồng mua bán,Chung cư,,53 m²,
"6,10 tỷ","Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, Tp Hồ Chí Minh","54,46 triệu/m²",3 phòng,2 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,,112 m²,Căn góc
"1,98 tỷ","Nguyễn Xiển, Phường Long Thạnh Mỹ (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","38,08 triệu/m²",1 phòng,1 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,,52 m²,
"1,29 tỷ","Nguyễn Xiển, Phường Long Thạnh Mỹ (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",129 triệu/m²,3 phòng,,,Đã bàn giao,,Sổ hồng riêng,Chung cư,,10 m²,
"1,77 tỷ",- 177 triệu/m²,177 triệu/m²,2 phòng,2 phòng,Tây,Đã bàn giao,Đông,,,,,
"1,55 tỷ","47, Tân Thới Hòa, Phường Tân Thới Hòa, Quận Tân Phú, Tp Hồ Chí Minh",31 triệu/m²,2 phòng,2 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,Nội thất đầy đủ,50 m²,
"1,60 tỷ","Hồ Học Lãm, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh","28,07 triệu/m²",2 phòng,2 phòng,,Đã bàn giao,,Hợp đồng mua bán,Chung cư,,57 m²,
"1,70 tỷ","- 32,69 triệu/m²","32,69 triệu/m²",2 phòng,1 phòng,Tây Bắc,Đã bàn giao,Đông Nam,Hợp đồng mua bán,Chung cư,,,
"2,85 tỷ","Số 1, Phường Trường Thọ (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","41,91 triệu/m²",2 phòng,2 phòng,,Đã bàn giao,,Hợp đồng mua bán,Chung cư,,68 m²,
"1,60 tỷ","113, Trương Đình Hội, Phường 16, Quận 8, Tp Hồ Chí Minh","21,62 triệu/m²",2 phòng,2 phòng,,Đã bàn giao,,Hợp đồng mua bán,Chung cư,Nội thất đầy đủ,74 m²,
"2,85 tỷ","Số 1, Phường Trường Thọ (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","41,91 triệu/m²",2 phòng,2 phòng,,Đã bàn giao,,Hợp đồng mua bán,Chung cư,,68 m²,
"1,60 tỷ","113, Trương Đình Hội, Phường 16, Quận 8, Tp Hồ Chí Minh","21,62 triệu/m²",2 phòng,2 phòng,,Đã bàn giao,,Hợp đồng mua bán,Chung cư,Nội thất đầy đủ,74 m²,
"1,30 tỷ","Đường Quốc lộ 1, Xã Bình Chánh, Huyện Bình Chánh, Tp Hồ Chí Minh","23,64 triệu/m²",2 phòng,,,Chưa bàn giao,,Đang chờ sổ,Chung cư,,55 m²,
"10,50 tỷ","91 Nguyễn Hữu Cảnh, Nguyễn Hữu Cảnh, Phường 22, Quận Bình Thạnh, Tp Hồ Chí Minh","63,64 triệu/m²",3 phòng,2 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,Nội thất cao cấp,165 m²,
"1,65 tỷ","Đường Đào Trí, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh",30 triệu/m²,2 phòng,2 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,Nội thất đầy đủ,55 m²,
"1,85 tỷ","15B, Phường Phú Mỹ, Quận 7, Tp Hồ Chí Minh","37,76 triệu/m²",1 phòng,1 phòng,,Chưa bàn giao,,Hợp đồng mua bán,Chung cư,Nội thất cao cấp,49 m²,
"6,30 tỷ","Nguyễn Hữu Cảnh, Phường 22, Quận Bình Thạnh, Tp Hồ Chí Minh","74,12 triệu/m²",2 phòng,2 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,Nội thất cao cấp,,Căn góc
"1,65 tỷ","Đường Điện Biên Phủ, Phường 25, Quận Bình Thạnh, Tp Hồ Chí Minh",165 triệu/m²,2 phòng,2 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,Nội thất đầy đủ,10 m²,
"2,08 tỷ","Nguyễn Xiển, Phường Long Thạnh Mỹ (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","44,21 triệu/m²",1 phòng,1 phòng,,Đã bàn giao,,Hợp đồng mua bán,Chung cư,,47 m²,
"3,70 tỷ","196, Cao Lỗ, Phường 4, Quận 8, Tp Hồ Chí Minh","43,53 triệu/m²",3 phòng,2 phòng,,Đã bàn giao,,Hợp đồng mua bán,Chung cư,Nội thất đầy đủ,85 m²,
"3,35 tỷ","số 88, N1, Phường Sơn Kỳ, Quận Tân Phú, Tp Hồ Chí Minh","39,41 triệu/m²",3 phòng,2 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,Hoàn thiện cơ bản,85 m²,
"1,65 tỷ",- 165 triệu/m²,165 triệu/m²,3 phòng,3 phòng,Tây,Đã bàn giao,Đông Nam,,,,,
3 tỷ,"- 49,18 triệu/m²","49,18 triệu/m²",2 phòng,1 phòng,Bắc,Chưa bàn giao,Nam,Hợp đồng mua bán,Chung cư,,,
"3,36 tỷ","- 42,01 triệu/m²","42,01 triệu/m²",2 phòng,2 phòng,Bắc,Chưa bàn giao,Nam,,Chung cư,,,
"3,10 tỷ","- 43,06 triệu/m²","43,06 triệu/m²",2 phòng,2 phòng,Bắc,Chưa bàn giao,Nam,,Chung cư,,,
"3,05 tỷ","- 40,67 triệu/m²","40,67 triệu/m²",2 phòng,2 phòng,Đông,Đã bàn giao,Tây,Sổ hồng riêng,Chung cư,,,
"1,40 tỷ","Nguyễn Văn Linh, Phường Tân Phong, Quận 7, Tp Hồ Chí Minh","51,85 triệu/m²",1 phòng,1 phòng,,Đã bàn giao,,Hợp đồng mua bán,Chung cư,Hoàn thiện cơ bản,27 m²,
"1,65 tỷ",- 33 triệu/m²,33 triệu/m²,2 phòng,,Đông Nam,Đã bàn giao,Tây,Sổ hồng riêng,Chung cư,Nội thất đầy đủ,,
"2,25 tỷ","208, Nguyễn Hữu Cảnh, Phường 22, Quận Bình Thạnh, Tp Hồ Chí Minh",225 triệu/m²,2 phòng,2 phòng,,Đã bàn giao,,Đang chờ sổ,Chung cư,Nội thất đầy đủ,,
"2,55 tỷ","Võ Văn Kiệt, Phường 16, Quận 8, Tp Hồ Chí Minh","35,42 triệu/m²",2 phòng,2 phòng,,Đã bàn giao,,Hợp đồng mua bán,Chung cư,,72 m²,
"3,75 tỷ",Tân Kỳ Tân Quý,"45,18 triệu/m²",3 phòng,2 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,,83 m²,Căn góc
"7,90 tỷ","91  Nguyễn Hữu Cảnh, Nguyễn Hữu Cảnh, Phường 22, Quận Bình Thạnh, Tp Hồ Chí Minh","60,31 triệu/m²",3 phòng,,,Đã bàn giao,Đông Nam,Sổ hồng riêng,Chung cư,,131 m²,Căn góc
"2,30 tỷ","Nguyễn Văn Linh, Xã Phong Phú, Huyện Bình Chánh, Tp Hồ Chí Minh","30,26 triệu/m²",2 phòng,2 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,Nội thất đầy đủ,76 m²,
"6,40 tỷ","Nguyễn Hữu Cảnh, Phường 22, Quận Bình Thạnh, Tp Hồ Chí Minh","63,37 triệu/m²",3 phòng,2 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,,101 m²,
"1,99 tỷ","13E, Nguyễn Văn Linh, Xã Phong Phú, Huyện Bình Chánh, Tp Hồ Chí Minh","25,51 triệu/m²",3 phòng,3 phòng,,Chưa bàn giao,,Hợp đồng mua bán,Chung cư,,78 m²,
"1,42 tỷ","13E, Nguyễn Văn Linh, Xã Phong Phú, Huyện Bình Chánh, Tp Hồ Chí Minh","28,40 triệu/m²",2 phòng,2 phòng,,Đã bàn giao,,Hợp đồng mua bán,Chung cư,Hoàn thiện cơ bản,50 m²,
"7,30 tỷ","Lô P5, Nguyễn Lương Bằng, Phường Tân Phú, Quận 7, Tp Hồ Chí Minh","74,49 triệu/m²",3 phòng,,,Chưa bàn giao,,Sổ hồng riêng,Chung cư,,98 m²,
"5,20 tỷ","số 88, N1, Phường Sơn Kỳ, Quận Tân Phú, Tp Hồ Chí Minh","40,94 triệu/m²",3 phòng,3 phòng,,Đã bàn giao,,Hợp đồng mua bán,Duplex,Nội thất đầy đủ,127 m²,
"3,05 tỷ","Nguyễn Xiển, Phường Long Thạnh Mỹ (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","37,42 triệu/m²",3 phòng,2 phòng,,Đã bàn giao,Đông Nam,,Chung cư,,,
"2,20 tỷ","Nguyễn Thị Búp, Phường Hiệp Thành, Quận 12, Tp Hồ Chí Minh","37,29 triệu/m²",2 phòng,,,Đã bàn giao,,Sổ hồng riêng,Chung cư,Nội thất đầy đủ,59 m²,
"2,80 tỷ","số 88, N1, Phường Sơn Kỳ, Quận Tân Phú, Tp Hồ Chí Minh","52,83 triệu/m²",1 phòng,1 phòng,,Đã bàn giao,,Hợp đồng mua bán,Chung cư,,53 m²,
"2,70 tỷ",- 45 triệu/m²,45 triệu/m²,2 phòng,2 phòng,Tây Bắc,Đã bàn giao,Tây Nam,1,Chung cư,,,
"6,10 tỷ","- 50,83 triệu/m²","50,83 triệu/m²",3 phòng,2 phòng,Nam,Đã bàn giao,Tây,Sổ hồng riêng,Chung cư,,,
"3,15 tỷ","523A, Đỗ Xuân Hợp, Phường Phước Long B (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",45 triệu/m²,2 phòng,2 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,Nội thất cao cấp,70 m²,
"2,59 tỷ","Võ Văn Kiệt, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh","46,25 triệu/m²",2 phòng,1 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,Hoàn thiện cơ bản,56 m²,
"4,37 tỷ","Lương Định Của, Phường An Khánh (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","57,53 triệu/m²",2 phòng,2 phòng,,Đã bàn giao,Đông Nam,Đang chờ sổ,Chung cư,Hoàn thiện cơ bản,,
"2,37 tỷ","Trịnh Quang Nghị, Xã Phong Phú, Huyện Bình Chánh, Tp Hồ Chí Minh","36,46 triệu/m²",2 phòng,2 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,Nội thất đầy đủ,65 m²,
"1,75 tỷ","102, Phan Văn Hớn, Phường Tân Thới Nhất, Quận 12, Tp Hồ Chí Minh","31,82 triệu/m²",2 phòng,1 phòng,,Đã bàn giao,,Đang chờ sổ,Chung cư,Nội thất đầy đủ,,
3 tỷ,- 40 triệu/m²,40 triệu/m²,3 phòng,1 phòng,Đông,Đã bàn giao,Tây,,,,,
"2,18 tỷ","Nguyễn Thị Búp, Phường Hiệp Thành, Quận 12, Tp Hồ Chí Minh","36,95 triệu/m²",2 phòng,2 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,,59 m²,
"2,18 tỷ","Nguyễn Thị Búp, Phường Hiệp Thành, Quận 12, Tp Hồ Chí Minh","36,95 triệu/m²",2 phòng,2 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,,59 m²,
"4,30 tỷ","Đường Nguyễn Văn Linh, xã Bình Hưng, huyện Bình Chánh, Tp.HCM, Xã Bình Hưng, Huyện Bình Chánh, Tp Hồ Chí Minh","45,26 triệu/m²",3 phòng,2 phòng,,Đã bàn giao,,Hợp đồng mua bán,Chung cư,Hoàn thiện cơ bản,,Căn góc
7 tỷ,"Tân Phong, Phường Tân Phong, Quận 7, Tp Hồ Chí Minh","59,32 triệu/m²",3 phòng,2 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,,118 m²,
"2,35 tỷ","Trịnh Quang Nghị, Xã Phong Phú, Huyện Bình Chánh, Tp Hồ Chí Minh","33,57 triệu/m²",2 phòng,2 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,Hoàn thiện cơ bản,70 m²,
"1,90 tỷ","D6, Phường Bình Chiểu (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","35,32 triệu/m²",2 phòng,,,Đã bàn giao,Đông Nam,Sổ hồng riêng,Chung cư,,53.8 m²,
"2,10 tỷ","D6, Phường Bình Chiểu (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",30 triệu/m²,2 phòng,2 phòng,,Chưa bàn giao,Đông Bắc,Sổ hồng riêng,Chung cư,,70 m²,
"3,20 tỷ","Tạ Quang Bửu, Phường 6, Quận 8, Tp Hồ Chí Minh","47,06 triệu/m²",2 phòng,2 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,,68 m²,
"1,30 tỷ","996, Tạ Quang Bửu, Phường 6, Quận 8, Tp Hồ Chí Minh",52 triệu/m²,1 phòng,1 phòng,,Đã bàn giao,,Hợp đồng mua bán,Officetel,,25 m²,
"3,40 tỷ","- 27,87 triệu/m²","27,87 triệu/m²",3 phòng,2 phòng,Đông Nam,Đã bàn giao,Tây Bắc,,Chung cư,,,
"1,35 tỷ",- 25 triệu/m²,25 triệu/m²,2 phòng,2 phòng,Đông,Chưa bàn giao,Đông,Đang chờ sổ,Chung cư,,,
"2,30 tỷ","- 32,86 triệu/m²","32,86 triệu/m²",2 phòng,2 phòng,Tây Bắc,Chưa bàn giao,Đông Nam,Sổ hồng riêng,Chung cư,,,
"2,70 tỷ","Đường Tô Ngọc Vân, Phường Tam Bình (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","31,40 triệu/m²",2 phòng,2 phòng,,Chưa bàn giao,,Hợp đồng mua bán,Chung cư,Hoàn thiện cơ bản,,Căn góc
"4,07 tỷ","- 50,85 triệu/m²","50,85 triệu/m²",2 phòng,2 phòng,Bắc,Đã bàn giao,Nam,,Chung cư,,,
"2,43 tỷ",- 45 triệu/m²,45 triệu/m²,2 phòng,2 phòng,Đông Nam,Chưa bàn giao,Tây Bắc,,,,,
"7,40 tỷ","Nguyễn Lương Bằng, Phường Tân Phú, Quận 7, Tp Hồ Chí Minh","64,91 triệu/m²",3 phòng,,,Đã bàn giao,,Sổ hồng riêng,Chung cư,,114 m²,
"3,10 tỷ","Võ Văn Kiệt, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh","41,33 triệu/m²",2 phòng,2 phòng,,Đã bàn giao,,Sổ hồng riêng,Chung cư,,75 m²,
